Team,Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,id_equipe,id_joueur
Aston Villa,Benjamin Broggio,ENG,FW,17,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,6,197
Aston Villa,Joe Gauci,AUS,GK,24,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,6,198
Aston Villa,Jamaldeen Jimoh,ENG,MF,17,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,6,199
Aston Villa,Sil Swinkels,NED,DF,20,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,6,200
Aston Villa,Kadan Young,ENG,MF,18,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,6,201
Aston Villa,Oliwier Zych,POL,GK,20,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,6,202
Nott'ham Forest,Matz Sels,BEL,GK,32,38,38,3420,38.0,0,0,0,0,0,0,4,0.0,0.0,7,203
Nott'ham Forest,Nikola Milenković,SRB,DF,26,37,37,3330,37.0,5,2,7,5,0,0,4,0.0,4.0,7,204
Nott'ham Forest,Murillo,BRA,DF,22,36,36,3188,35.4,2,0,2,2,0,0,6,0.0,1.4,7,205
Nott'ham Forest,Ola Aina,NGA,DF,27,35,35,2995,33.3,2,1,3,2,0,0,5,0.0,0.6,7,206
Nott'ham Forest,Chris Wood,NZL,FW,32,36,35,2959,32.9,20,3,23,17,3,3,1,0.0,13.4,7,207
Nott'ham Forest,Morgan Gibbs-White,ENG,MF,24,34,34,2803,31.1,7,8,15,7,0,0,11,1.0,6.3,7,208
Nott'ham Forest,Elliot Anderson,ENG,MF,21,37,33,2728,30.3,2,6,8,2,0,0,10,0.0,2.1,7,209
Nott'ham Forest,Anthony Elanga,SWE,"FW,MF",22,38,31,2501,27.8,6,11,17,6,0,0,1,0.0,4.5,7,210
Nott'ham Forest,Neco Williams,WAL,DF,23,35,28,2594,28.8,1,3,4,1,0,0,7,0.0,2.3,7,211
Nott'ham Forest,Callum Hudson-Odoi,ENG,"FW,MF",23,31,25,2194,24.4,5,2,7,5,0,0,2,0.0,2.5,7,212
Nott'ham Forest,Nicolás Domínguez,ARG,"MF,FW",26,34,23,1963,21.8,0,1,1,0,0,0,9,0.0,1.5,7,213
Nott'ham Forest,Ryan Yates,ENG,MF,26,35,18,1915,21.3,2,1,3,2,0,0,10,0.0,2.3,7,214
Nott'ham Forest,Álex Moreno,ESP,"DF,MF",31,15,11,955,10.6,0,1,1,0,0,0,2,0.0,0.2,7,215
Nott'ham Forest,Ibrahim Sangaré,CIV,MF,26,13,7,590,6.6,0,1,1,0,0,0,3,0.0,0.0,7,216
Nott'ham Forest,Morato,BRA,DF,23,26,6,907,10.1,0,0,0,0,0,0,5,0.0,0.2,7,217
Nott'ham Forest,Jota Silva,POR,"FW,MF",24,31,5,854,9.5,3,1,4,3,0,0,5,0.0,2.1,7,218
